Customer ID,Number of Orders Lifetime,Revenue Amount Lifetime,Art.com Flag
13078,2,$45.96,N
22758,3,$471.56,Y
23142,2,$214.62,N
25301,2,$175.13,N
26069,4,$118.90,N
27349,3,$106.46,N
29253,3,$77.71,N
36861,4,$65.10,N
38689,2,$159.72,N
42505,4,"$1,587.99",N
44153,2,$47.95,Y
45435,2,$65.94,N
47796,2,$239.46,Y
48164,6,$155.20,N
51640,4,$173.78,N
54636,2,$192.38,N
59083,4,$51.96,N
60360,4,$131.09,Y
61937,3,$111.94,Y
64161,5,$767.40,Y
65716,4,$125.40,N
71519,3,$67.94,N
74064,2,$56.96,N
78384,3,$68.08,N
80105,4,$139.70,Y
80656,2,$43.96,N
81610,2,$108.90,N
85669,5,$95.25,Y
89092,2,$41.26,N
90054,2,$287.45,Y
92246,4,$336.55,Y
93488,2,$176.42,Y
94973,2,$222.74,Y
95664,3,$212.45,N
95749,2,$201.11,N
100805,7,$280.29,Y
104766,2,$94.54,N
104922,10,$336.91,Y
111001,2,$27.96,N
123579,2,$316.32,N
126226,3,$192.27,Y
133929,2,$85.39,Y
139698,4,$432.94,N
142120,2,$173.18,N
142639,2,$197.70,N
151299,2,$134.09,N
151586,10,"$1,067.92",Y
160296,4,$198.46,N
163799,2,$77.96,Y
165751,4,$121.43,N
166365,2,$304.96,Y
166424,7,"$1,839.39",N
167295,3,$226.42,Y
167807,2,$268.62,Y
168302,2,$30.32,Y
174274,2,$48.05,N
175248,2,$149.41,N
176699,8,$976.31,N
179066,3,"$2,429.65",Y
181906,3,$759.00,N
186195,2,$39.44,N
188100,3,$120.88,Y
191043,8,$948.18,Y
194360,2,$219.94,Y
196520,2,$54.84,N
199688,4,$317.88,N
199784,7,"$2,411.06",Y
199800,2,$54.95,Y
199960,3,$457.70,N
207044,2,$259.96,N
208155,2,$196.83,Y
209313,2,$128.96,N
211489,7,$270.08,N
216373,4,$387.31,Y
218628,2,$327.88,N
221243,2,$67.40,N
222623,2,$38.92,N
224642,2,$55.46,N
225038,8,$466.22,Y
232888,3,$296.89,N
233057,2,$96.90,Y
235487,2,$49.29,N
246837,5,$566.86,N
247329,4,$155.07,Y
247933,2,$192.01,N
249477,3,$175.93,N
250220,2,$47.45,N
250353,3,$394.70,N
251296,2,$308.70,N
258112,10,$350.73,N
260086,2,$166.22,Y
267752,5,$165.68,N
272444,2,$42.26,N
275564,3,"$1,242.54",Y
280788,4,$282.80,N
282406,4,$544.88,N
285303,2,$77.89,N
285822,3,$307.76,Y
288373,2,$104.96,N
289716,2,$243.45,Y
292434,2,$40.96,Y
294939,3,$562.26,Y
295235,7,$534.48,Y
295781,4,$249.63,Y
296158,2,$122.97,Y
296359,2,$397.42,N
297890,2,$157.94,N
299183,2,$49.40,N
301687,2,$132.56,N
302251,6,"$1,122.34",N
303575,3,$383.76,Y
304188,17,"$1,028.80",Y
313502,2,$54.95,N
314315,2,$63.91,N
315417,6,"$1,036.11",N
318271,2,$127.94,N
323618,3,$355.94,N
329986,2,$54.35,N
331026,2,$392.39,Y
345860,3,$75.61,N
346914,2,$145.48,N
348405,2,$334.95,N
349009,24,"$7,419.96",Y
352817,2,$110.47,N
354498,2,$83.46,N
354602,2,$197.21,N
355857,5,$171.06,N
356149,5,$251.81,Y
360166,6,"$1,325.94",N
362337,2,$26.99,N
363020,2,$26.98,N
363070,4,$200.19,Y
365696,4,$360.91,Y
365721,2,$187.10,Y
