OID,Customer ID,Order Date,Channel,Sub-Channel,Free Shipping Flag,Customer Order # (Brand),New/Repeat Flag (Brand),Contains Trend Item Flag,Item Quantity Ordered,Serviced Item Quantity,Framed Item Quantity,Net Base Item Amount USD,Net Services Amount USD,Net Item Amount USD,Freight Amount USD,Coupon Item Amount USD,Coupon Amount USD,Net Sales Amount USD
1000865440467,4868140,1/1/13,Direct to Site,No Referrer,No Coupon,2,Repeat,N,4,0,0,$99.96,$0.00,$99.96,$7.96,$0.00,$0.00,$107.92
1000268127955,9198849,1/1/13,Display,Retargeting,No Coupon,1,New,Y,1,0,0,$8.99,$0.00,$8.99,$4.99,$0.00,$0.00,$13.98
1000653344211,9201259,1/1/13,Other,Unknown Referrer,No Coupon,1,New,N,1,1,0,$51.99,$28.00,$79.99,$9.99,$0.00,$0.00,$89.98
1001200989139,9203424,1/1/13,Other,Unknown Referrer,No Coupon,1,New,N,1,1,0,$51.99,$28.00,$79.99,$9.99,$0.00,$0.00,$89.98
1000044020947,4531924,1/1/13,SEM,Paid Ads,No Coupon,2,Repeat,N,2,0,0,$51.98,$0.00,$51.98,$5.98,$0.00,$0.00,$57.96
1000088314579,9198268,1/1/13,SEM,Paid Ads,No Coupon,1,New,Y,1,0,0,$8.99,$0.00,$8.99,$4.99,$0.00,$0.00,$13.98
1001641185747,8225075,1/1/13,SEM,Paid Ads,No Coupon,3,Repeat,Y,1,1,0,$6.99,$14.00,$20.99,$9.99,$0.00,$0.00,$30.98
1000429250515,9196163,1/1/13,SEM,Product Listing Ads,No Coupon,1,New,Y,1,0,0,$12.99,$0.00,$12.99,$4.99,$0.00,$0.00,$17.98
1000651343252,9202261,1/1/13,SEM,Product Listing Ads,No Coupon,1,New,Y,5,0,0,$46.45,$0.00,$46.45,$12.95,$0.00,$0.00,$59.40
1000095003603,9199805,1/1/13,SEO,Organic,Y,1,New,Y,2,0,0,$15.98,$0.00,$15.98,$1.98,$0.00,$1.98,$15.98
1000100377555,9190186,1/1/13,SEO,Organic,Y,2,Repeat,Y,3,0,0,$22.96,$0.00,$22.96,$2.97,$0.00,$2.97,$22.96
1000435266515,9200776,1/1/13,SEO,Organic,No Coupon,1,New,Y,7,0,0,$115.93,$0.00,$115.93,$10.93,$0.00,$0.00,$126.86
