,age,cost_of_ad,device_type,gender,in_initial_launch_location,income,n_drivers,n_vehicles,prior_ins_tenure,pred_outcome
0,34,0.0051336559999999995,Android,F,1,40376,1,3,7,0
1,53,0.005223345,desktop,F,1,84511,1,1,11,1
2,46,0.004938677,laptop,F,0,79322,1,1,4,0
3,36,0.004924013,Android,F,0,63295,1,2,0,0
4,28,0.005146137,other,F,1,36170,1,3,3,0
5,51,0.00624151,iPhone,F,0,60520,1,1,14,0
6,20,0.003534097,desktop,M,0,59324,1,1,0,1
7,35,0.004567873,Android,F,0,37002,2,3,5,0
8,32,0.004713050999999999,Android,F,1,45207,1,2,7,0
9,33,0.006178306999999999,iPhone,F,0,72587,1,2,6,0
10,27,0.003349975,laptop,M,0,52713,2,3,5,0
11,51,0.005774025,iPhone,M,0,86333,1,1,16,1
12,28,0.003911984,desktop,M,1,41397,1,2,4,1
13,57,0.0036033370000000003,desktop,M,0,72786,2,3,10,0
14,55,0.003648088,Android,M,1,90290,1,1,12,1
15,25,0.004790476,iPhone,M,0,46642,1,2,1,0
16,42,0.005273081999999999,Android,F,0,69501,1,1,5,1
17,56,0.00455713,Android,M,1,87974,1,1,17,1
18,16,0.004865973,desktop,F,1,43469,1,3,0,1
19,53,0.0036286509999999997,laptop,M,1,88081,1,2,2,0
20,60,0.005552077,Android,F,0,94264,1,3,8,0
21,51,0.004744776,other,F,0,83278,1,2,14,0
22,52,0.006140854,iPhone,F,0,61533,1,3,16,0
23,16,0.004964714,iPhone,M,0,50473,2,1,0,1
24,23,0.004561137,laptop,F,1,33677,1,3,1,0
25,21,0.003516229,laptop,M,1,47201,1,2,0,0
26,54,0.005435127,iPhone,M,1,68223,2,3,0,0
27,46,0.005178666,desktop,F,0,80692,2,2,14,0
28,33,0.005078404,other,F,1,40772,2,2,3,0
29,23,0.004407510999999999,laptop,F,0,35206,1,3,1,0
30,30,0.003652426,laptop,M,1,33237,2,3,0,0
31,43,0.004962573,other,F,1,68204,2,1,3,1
32,36,0.004207912,desktop,M,1,75740,1,3,9,1
33,54,0.005517884,laptop,F,1,57108,2,1,19,1
34,39,0.00552377,iPhone,M,0,65797,2,2,11,0
35,28,0.005222658,iPhone,M,0,66880,2,2,5,0
36,24,0.003399863,laptop,M,0,44370,1,2,2,0
37,57,0.00516896,desktop,F,1,75925,1,2,0,0
38,58,0.006542341,iPhone,F,0,90425,1,3,0,0
39,41,0.005336218,laptop,F,0,44579,1,3,5,0
40,38,0.003750957,laptop,M,0,73524,1,3,4,0
41,59,0.005284024,other,F,0,97153,2,1,19,0
42,39,0.005425834,iPhone,M,0,40907,2,3,1,0
43,42,0.003742652,other,M,1,77942,1,2,8,0
44,39,0.003736373,Android,M,0,57371,2,3,9,0
45,33,0.0046230609999999995,laptop,F,1,40201,1,1,2,1
46,23,0.004946799,desktop,F,0,61977,1,3,2,0
47,52,0.006165991,iPhone,F,1,68115,1,1,3,1
48,26,0.004862895999999999,laptop,F,1,61288,1,3,5,0
49,29,0.004006793,laptop,M,1,50158,1,2,3,0
50,38,0.005001309000000001,Android,F,1,46025,1,1,6,1
51,28,0.004747441,other,F,1,50207,1,2,5,0
52,16,0.00320984,laptop,M,1,16166,2,2,0,1
53,24,0.0034167040000000004,other,M,1,26036,2,3,3,0
54,42,0.006029696,iPhone,F,1,72332,1,1,6,1
55,46,0.006450755,iPhone,F,0,85603,1,3,15,0
56,29,0.004164515,desktop,M,0,43183,2,1,0,1
57,29,0.004072184,desktop,M,0,41487,1,2,3,1
58,31,0.004849742,other,F,1,34108,1,2,2,0
59,41,0.005092527,desktop,F,0,50946,1,1,1,0
60,20,0.0050653090000000005,Android,F,1,46768,2,3,2,1
61,50,0.005976085,iPhone,M,0,79316,1,2,2,0
62,32,0.0051312070000000005,Android,F,1,41384,2,3,5,0
63,29,0.005261634,Android,F,0,62903,2,2,5,0
64,49,0.005004444,other,F,0,65090,1,2,15,0
65,41,0.005316255,other,F,1,54713,2,3,8,0
66,33,0.004576328,other,F,1,57057,2,2,5,0
67,43,0.005417521999999999,Android,F,1,65334,2,3,0,0
68,27,0.0033925559999999997,Android,M,0,65299,1,1,3,1
70,49,0.005105193,Android,F,1,70524,1,1,6,1
71,47,0.0036279529999999997,desktop,M,0,67916,2,2,2,0
72,39,0.003859221,other,M,1,72139,1,1,0,1
73,48,0.0053229440000000005,laptop,F,0,54156,1,1,2,0
74,23,0.00359727,laptop,M,0,27016,2,3,2,0
75,48,0.0048346479999999995,Android,F,0,73195,1,2,16,0
